,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8,Rank 9,Rank 10,Rank 11,Rank 12,Rank 13,Rank 14,Rank 15,Rank 16,Rank 17,Rank 18,Rank 19,Rank 20,Rank 21,Rank 22,Rank 23,Rank 24,Top 24 Prob
nesmotri_v_shelll1,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.026,0.054,0.068,0.086,0.097,0.098,0.109,0.075,0.065,0.058,0.047,0.047,0.036,0.027,0.012,0.021,0.86668
кинчоч,0.186,0.279,0.248,0.137,0.064,0.031,0.022,0.012,0.011,0.004,0.004,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659999999999999
Горыныч,0.004,0.025,0.068,0.168,0.192,0.187,0.138,0.092,0.055,0.036,0.016,0.007,0.002,0.002,0.003,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659999999999999
Бэндер,0.006,0.037,0.12,0.187,0.176,0.146,0.114,0.096,0.052,0.03,0.014,0.008,0.004,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.765234
Serg,0.0,0.0,0.001,0.002,0.012,0.032,0.041,0.087,0.105,0.105,0.088,0.071,0.07,0.054,0.04,0.045,0.029,0.027,0.027,0.022,0.017,0.025,0.013,0.013,0.7093159999999998
EliasPavlov,0.482,0.257,0.143,0.051,0.024,0.02,0.01,0.005,0.002,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688
long_2203,0.036,0.117,0.169,0.176,0.155,0.083,0.09,0.065,0.034,0.019,0.016,0.008,0.008,0.006,0.002,0.005,0.001,0.0,0.001,0.001,0.003,0.0,0.0,0.0,0.6845600000000001
Чека-чека,0.268,0.228,0.137,0.098,0.073,0.052,0.035,0.021,0.021,0.011,0.01,0.007,0.006,0.007,0.004,0.005,0.0,0.005,0.001,0.0,0.002,0.001,0.001,0.001,0.6838719999999999
Антуан Гризманн,0.001,0.006,0.007,0.045,0.088,0.105,0.127,0.135,0.127,0.085,0.06,0.041,0.033,0.029,0.021,0.015,0.017,0.011,0.006,0.007,0.006,0.005,0.004,0.003,0.676992
gvrdkn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.004,0.005,0.022,0.028,0.046,0.053,0.051,0.065,0.08,0.061,0.073,0.072,0.063,0.055,0.6297260000000001
Пассажир,0.0,0.0,0.0,0.0,0.002,0.006,0.014,0.019,0.026,0.06,0.073,0.065,0.065,0.074,0.067,0.063,0.07,0.05,0.056,0.04,0.034,0.021,0.027,0.031,0.593744
Плейбой в карты,0.0,0.001,0.01,0.019,0.021,0.066,0.078,0.088,0.117,0.099,0.11,0.056,0.062,0.037,0.041,0.021,0.016,0.029,0.023,0.021,0.014,0.01,0.013,0.014,0.58926
лучший игрок,0.0,0.001,0.004,0.003,0.019,0.037,0.047,0.088,0.084,0.081,0.099,0.09,0.078,0.055,0.049,0.046,0.032,0.025,0.024,0.024,0.013,0.018,0.016,0.014,0.57767
Ромчик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.002,0.005,0.017,0.031,0.031,0.032,0.055,0.057,0.065,0.056,0.07,0.063,0.062,0.056,0.064,0.51322
Noize MC,0.005,0.017,0.04,0.057,0.089,0.102,0.1,0.092,0.08,0.065,0.049,0.047,0.043,0.037,0.015,0.025,0.021,0.009,0.016,0.007,0.014,0.006,0.003,0.003,0.501144
mvp,0.001,0.002,0.012,0.015,0.027,0.049,0.052,0.07,0.091,0.094,0.061,0.077,0.044,0.046,0.037,0.042,0.029,0.024,0.022,0.02,0.022,0.016,0.017,0.018,0.47241600000000006
Maxim,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.012,0.029,0.029,0.047,0.069,0.058,0.05,0.053,0.044,0.057,0.055,0.047,0.043,0.038,0.047,0.043,0.03,0.46604
Yanchik_250,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.007,0.015,0.022,0.029,0.045,0.034,0.044,0.057,0.059,0.053,0.061,0.053,0.051,0.051,0.44964199999999993
Kanti,0.0,0.0,0.0,0.002,0.001,0.005,0.011,0.022,0.014,0.038,0.054,0.048,0.046,0.06,0.042,0.044,0.037,0.049,0.044,0.037,0.027,0.036,0.031,0.033,0.41540999999999995
Руслан,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.004,0.008,0.016,0.026,0.023,0.033,0.035,0.051,0.051,0.056,0.047,0.039,0.04,0.044,0.056,0.041,0.39491200000000004
yungplague,0.011,0.03,0.041,0.04,0.055,0.066,0.083,0.057,0.047,0.066,0.053,0.052,0.041,0.037,0.025,0.026,0.028,0.01,0.012,0.02,0.014,0.015,0.015,0.009,0.387262
Yars,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.004,0.01,0.028,0.031,0.029,0.045,0.059,0.056,0.052,0.044,0.053,0.052,0.069,0.045,0.036,0.37759
gara_077,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.011,0.02,0.028,0.03,0.033,0.043,0.044,0.05,0.042,0.047,0.038,0.036,0.03,0.04,0.035,0.035,0.03,0.317072
emilian_s,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.004,0.013,0.013,0.022,0.022,0.033,0.026,0.044,0.029,0.03,0.026,0.035,0.038,0.036,0.035,0.033,0.036,0.254296
Rik_dds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.005,0.015,0.019,0.018,0.022,0.04,0.039,0.038,0.035,0.053,0.24644800000000006
Obscur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.009,0.007,0.013,0.014,0.026,0.023,0.024,0.029,0.045,0.043,0.043,0.033,0.033,0.24079999999999996
Пиковая Дама,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.003,0.0,0.004,0.007,0.009,0.016,0.017,0.021,0.027,0.02,0.031,0.035,0.043,0.18077600000000002
artyomkalina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.005,0.007,0.013,0.011,0.02,0.019,0.019,0.023,0.024,0.032,0.025,0.044,0.027,0.16592
Cordell,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.01,0.011,0.016,0.025,0.013,0.024,0.025,0.028,0.024,0.03,0.027,0.029,0.026,0.028,0.037,0.16253199999999998
by_twentyseven,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.003,0.013,0.012,0.016,0.021,0.016,0.029,0.03,0.026,0.031,0.027,0.029,0.034,0.03,0.033,0.032,0.037,0.159048
szrvi,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.003,0.005,0.006,0.019,0.011,0.021,0.012,0.018,0.029,0.022,0.026,0.02,0.024,0.031,0.037,0.15268400000000001
