player_id,date,tournament_type,position,points,bounties
Noize MC,2026-05-02,bounty,1,1150,13
Чека-чека,2026-05-02,bounty,2,1115,14
Драйв,2026-05-02,bounty,3,1020,12
long_2203,2026-05-02,bounty,4,845,6
кинчоч,2026-05-02,bounty,5,770,5
Пассажир,2026-05-02,bounty,6,735,6
лучший игрок,2026-05-02,bounty,7,600,2
Пиковая Дама,2026-05-02,bounty,8,505,0
cheremsha,2026-05-02,bounty,9,470,1
G_rant_999,2026-05-02,bounty,10,575,9
Плейбой в карты,2026-05-02,bounty,11,450,3
ksuhony,2026-05-02,bounty,12,405,1
dolMy,2026-05-02,bounty,13,540,8
Сокол,2026-05-02,bounty,14,495,6
Yanchik_250,2026-05-02,bounty,15,470,5
terzzzzzzzzz,2026-05-02,bounty,16,485,6
gvrdkn,2026-05-02,bounty,17,380,1
Laches1,2026-05-02,bounty,18,455,5
1С,2026-05-02,bounty,19,300,0
sfv,2026-05-02,bounty,20,355,3
nesmotri_v_shelll1,2026-05-02,bounty,21,370,4
TryFraiz,2026-05-02,bounty,22,325,2
emilian_s,2026-05-02,bounty,23,360,4
Rabie,2026-05-02,bounty,24,375,5
Lock,2026-05-02,bounty,25,410,7
Настя дай стек,2026-05-02,bounty,26,265,0
AlexBluff,2026-05-02,bounty,27,360,5
БОЛЬШОЙ МИХА,2026-05-02,bounty,28,275,1
Alina_97,2026-05-02,bounty,29,250,0
Cordell,2026-05-02,bounty,30,245,0
Son_Ton,2026-05-02,bounty,31,240,0
Suruchik,2026-05-02,bounty,32,255,1
Аннэтт,2026-05-02,bounty,33,230,0
Ryumon_Hozukimaruu,2026-05-02,bounty,34,225,0
Yars,2026-05-02,bounty,35,220,0
Retbin,2026-05-02,bounty,36,215,0
Davydovpussy,2026-05-02,bounty,37,210,0
springbulk,2026-05-02,bounty,38,225,1
Julia_2499,2026-05-02,bounty,39,340,7
Rik_dds,2026-05-02,bounty,40,215,1
mflameee,2026-05-02,bounty,41,210,1
mrCelviano,2026-05-02,bounty,42,185,0
bogdanov,2026-05-02,bounty,43,280,5
Qrexi,2026-05-02,bounty,44,175,0
Адольф,2026-05-02,bounty,45,170,0
Никита,2026-05-02,bounty,46,205,2
OlgaaGeorgieva,2026-05-02,bounty,47,160,0
Gur4an,2026-05-02,bounty,48,175,1
Бэндер,2026-05-02,bounty,49,170,1
Serg,2026-05-02,bounty,50,145,0
Jordan,2026-05-02,bounty,51,140,0
DARI,2026-05-02,bounty,52,155,1
Davit,2026-05-02,bounty,53,270,7
Vitos2049,2026-05-02,bounty,54,125,0
STG,2026-05-02,bounty,55,140,1
dance_with_vlad,2026-05-02,bounty,56,115,0
Ташкент,2026-05-02,bounty,57,110,0
.,2026-05-02,bounty,58,205,5
Mar_u_shka,2026-05-02,bounty,59,100,0
He3hAy,2026-05-02,bounty,60,115,1
elli,2026-05-02,bounty,61,110,1
imt360_ATDK,2026-05-02,bounty,62,105,1
repe_kate,2026-05-02,bounty,63,100,1
avomerfe,2026-05-02,bounty,64,75,0
juliezh,2026-05-02,bounty,65,70,0
Tim19,2026-05-02,bounty,66,65,0
Shuricspinoza,2026-05-02,bounty,67,60,0
katerina_boc,2026-05-02,bounty,68,55,0
twewefe,2026-05-02,bounty,69,50,0
Fara,2026-05-02,bounty,70,45,0
Schwepp1S,2026-05-02,bounty,71,40,0
frida_hk,2026-05-02,bounty,72,35,0
edimerfi,2026-05-02,bounty,73,30,0
rus210385,2026-05-02,bounty,74,25,0
nsa,2026-05-02,bounty,75,20,0
alinaadmv,2026-05-02,bounty,76,15,0
DanilaOdinokov,2026-05-02,bounty,77,5,0
nk_telller,2026-05-03,triple shot,1,750,0
Cordell,2026-05-03,triple shot,2,695,0
ustayonmymind,2026-05-03,triple shot,3,640,0
Lancelot,2026-05-03,triple shot,4,585,0
Rik_dds,2026-05-03,triple shot,5,530,0
danalanaaa,2026-05-03,triple shot,6,475,0
Пиковая Дама,2026-05-03,triple shot,7,420,0
EliasPavlov,2026-05-03,triple shot,8,365,0
Yrs,2026-05-03,triple shot,9,310,0
Бэндер,2026-05-03,triple shot,10,255,0
лучший игрок,2026-05-03,triple shot,11,250,0
ajolana,2026-05-03,triple shot,12,245,0
szrvi,2026-05-03,triple shot,13,240,0
Yanchik_250,2026-05-03,triple shot,14,235,0
Ruslan1,2026-05-03,triple shot,15,230,0
Пассажир,2026-05-03,triple shot,16,225,0
FireSnail,2026-05-03,triple shot,17,220,0
lubashley,2026-05-03,triple shot,18,215,0
Настя дай стек,2026-05-03,triple shot,19,160,0
Викусик,2026-05-03,triple shot,20,155,0
artyomkalina,2026-05-03,triple shot,21,150,0
Ромчик,2026-05-03,triple shot,22,145,0
Никитос,2026-05-03,triple shot,23,140,0
Стич,2026-05-03,triple shot,24,135,0
3y6a,2026-05-03,triple shot,25,130,0
sasha12039,2026-05-03,triple shot,26,125,0
avveev,2026-05-03,triple shot,27,120,0
Retbin,2026-05-03,triple shot,28,115,0
John Fisher,2026-05-03,triple shot,29,110,0
nesmotri_v_shelll1,2026-05-03,triple shot,30,105,0
Chesters,2026-05-03,triple shot,31,100,0
Yandi,2026-05-03,triple shot,32,95,0
Laches1,2026-05-03,triple shot,33,90,0
gvrdkn,2026-05-03,triple shot,34,85,0
chilly,2026-05-03,triple shot,35,80,0
Mark,2026-05-03,triple shot,36,75,0
Leomane,2026-05-03,triple shot,37,70,0
mflameee,2026-05-03,triple shot,38,65,0
Serg,2026-05-03,triple shot,39,60,0
lifechampagne,2026-05-03,triple shot,40,55,0
Настя дай ребай блат,2026-05-03,triple shot,41,50,0
kornaakov,2026-05-03,triple shot,42,45,0
kuromi,2026-05-03,triple shot,43,40,0
ksellym,2026-05-03,triple shot,44,35,0
гофер,2026-05-03,triple shot,45,30,0
pеtr32,2026-05-03,triple shot,46,25,0
Гонзалес,2026-05-03,triple shot,47,20,0
veronesss,2026-05-03,triple shot,48,15,0
etovadikk,2026-05-03,triple shot,49,10,0
DmitriiM0,2026-05-03,triple shot,50,5,0
Cordell,2026-05-05,high roller,1,1000,0
Пассажир,2026-05-05,high roller,2,850,0
Антуан Гризманн,2026-05-05,high roller,3,750,0
В азарт не входим,2026-05-05,high roller,4,680,0
Демон,2026-05-05,high roller,5,620,0
Викусик,2026-05-05,high roller,6,570,0
kirienish,2026-05-05,high roller,7,530,0
Maxim,2026-05-05,high roller,8,500,0
swapblet,2026-05-05,high roller,9,470,0
szrvi,2026-05-05,high roller,10,450,0
Пиковая Дама,2026-05-05,high roller,11,430,0
Николай К,2026-05-05,high roller,12,415,0
Rik_dds,2026-05-05,high roller,13,400,0
Mozilo,2026-05-05,high roller,14,385,0
serpav_04,2026-05-05,high roller,15,370,0
Leomane,2026-05-05,high roller,16,355,0
Kanti,2026-05-05,high roller,17,340,0
No1z11,2026-05-05,high roller,18,635,0
3y6a,2026-05-05,high roller,19,310,0
call_me_zanavo,2026-05-05,high roller,20,295,0
kuromi,2026-05-05,high roller,21,280,0
rusya6996,2026-05-05,high roller,22,265,0
E_ishutkin,2026-05-05,high roller,23,250,0
лучший игрок,2026-05-05,high roller,24,240,0
mvp,2026-05-05,high roller,25,230,0
sl1dbygad,2026-05-05,high roller,26,220,0
gvrdkn,2026-05-05,high roller,27,215,0
Obscur,2026-05-05,high roller,28,210,0
Staryii,2026-05-05,high roller,29,205,0
Сокол,2026-05-05,high roller,30,200,0
дисциплина,2026-05-05,high roller,31,0,0
Chesters,2026-05-05,high roller,32,0,0
Mitzy,2026-05-05,high roller,33,0,0
рачули,2026-05-05,high roller,34,0,0
M1kayt,2026-05-05,high roller,35,0,0
Laches1,2026-05-05,high roller,36,0,0
vovaa_25,2026-05-05,high roller,37,0,0
Nolekri,2026-05-05,high roller,38,0,0
Lock,2026-05-05,high roller,39,0,0
Sokrat_Ab,2026-05-05,high roller,40,0,0
Сан Саныч,2026-05-05,high roller,41,0,0
като,2026-05-05,high roller,42,0,0
Nikolay,2026-05-05,high roller,43,0,0
kirp4712,2026-05-05,high roller,44,0,0
витя доезд,2026-05-05,high roller,45,0,0
Руслан,2026-05-05,high roller,46,0,0
stil9ger,2026-05-05,high roller,47,0,0
moz1lo_jr,2026-05-05,high roller,48,0,0
poysty,2026-05-05,high roller,49,0,0
Riteral,2026-05-05,high roller,50,0,0
xairullah,2026-05-05,high roller,51,0,0
Акоп,2026-05-05,high roller,52,0,0
Ташкент,2026-05-05,high roller,53,0,0
nik_zverev,2026-05-05,high roller,54,0,0
nesmotri_v_shelll1,2026-05-05,high roller,55,0,0
Me1man77,2026-05-05,high roller,56,0,0
Legi,2026-05-05,high roller,57,0,0
Broski,2026-05-05,high roller,58,0,0
Yandi,2026-05-05,high roller,59,0,0
VVP,2026-05-05,high roller,60,0,0
Yrs,2026-05-05,high roller,61,0,0
clayzid,2026-05-05,high roller,62,0,0
Yanchik_250,2026-05-05,high roller,63,0,0
Отец Дмитрий,2026-05-05,high roller,64,0,0
Alkyds,2026-05-05,high roller,65,0,0
kosty_mlg,2026-05-05,high roller,66,0,0
Danil,2026-05-05,high roller,67,0,0
lanz8,2026-05-05,high roller,68,0,0
kavun_prime,2026-05-05,high roller,69,0,0
Максим,2026-05-05,high roller,70,0,0
denisyoung04,2026-05-05,high roller,71,0,0
7,2026-05-05,high roller,72,0,0
